Unit_Type,Unit_Name,Type,Time_Id,Projection
EML,EML,Whole-EML,1/01/2014,2624.5297
EML,EML,Whole-EML,1/02/2014,2439.7698
EML,EML,Whole-EML,1/03/2014,2256.954
EML,EML,Whole-EML,1/04/2014,2078.7125
EML,EML,Whole-EML,1/05/2014,1935.0095
EML,EML,Whole-EML,1/06/2014,1818.8983
EML,EML,Whole-EML,1/07/2014,1724.2218
EML,EML,Whole-EML,1/08/2014,1645.8483
EML,EML,Whole-EML,1/09/2014,1579.2561
EML,EML,Whole-EML,1/10/2014,1520.9314
EML,EML,Whole-EML,1/11/2014,1467.9713
EML,EML,Whole-EML,1/12/2014,1418.5057
EML,EML,Whole-EML,1/01/2015,1371.2495
EML,EML,Whole-EML,1/02/2015,1325.9198
EML,EML,Whole-EML,1/03/2015,1283.0592
EML,EML,Whole-EML,1/04/2015,1243.8722
EML,EML,Whole-EML,1/05/2015,1210.6646
EML,EML,Whole-EML,1/06/2015,1186.2137
