Unit_Type,Unit_Name,Type,TIME_ID,Projection
EML,EML,Whole-EML,Jan-14,2624.5297
EML,EML,Whole-EML,Feb-14,2439.7698
EML,EML,Whole-EML,Mar-14,2256.954
EML,EML,Whole-EML,Apr-14,2078.7125
EML,EML,Whole-EML,May-14,1935.0095
EML,EML,Whole-EML,Jun-14,1818.8983
EML,EML,Whole-EML,Jul-14,1724.2218
EML,EML,Whole-EML,Aug-14,1645.8483
EML,EML,Whole-EML,Sep-14,1579.2561
EML,EML,Whole-EML,Oct-14,1520.9314
EML,EML,Whole-EML,Nov-14,1467.9713
EML,EML,Whole-EML,Dec-14,1418.5057
EML,EML,Whole-EML,Jan-15,1371.2495
EML,EML,Whole-EML,Feb-15,1325.9198
EML,EML,Whole-EML,Mar-15,1283.0592
EML,EML,Whole-EML,Apr-15,1243.8722
EML,EML,Whole-EML,May-15,1210.6646
EML,EML,Whole-EML,Jun-15,1186.2137
